72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Kreisliga Herren A (KLHA) 2023/24,2023-11-11T20:00,TSV München Ost,SG Poing,Ost-Dome 1,BC Hellenen München,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-11-12T10:00,FC Bayern München 3,TSV München-Solln,FC Bayern Campus,TSV Haar,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-12T10:00,TSV Vaterstetten,München Basket 2,Realschule Baldham,TSV Wasserburg,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-12T11:15,München Basket 2,MTSV Schwabing 5,Grundschule Amphionpark,SVN München,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-12T11:30,TV Traunstein,Baskets Vilsbiburg,Halle der Ludwig-Thoma-Schule,SV Wacker Burghausen 2,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-11-12T12:15,ESV Staffelsee 2,TSV Gräfelfing e.V.,Staffelsee-Gymnasium,TSV Weilheim,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-12T12:15,TG Landshut,TSV Neuötting,Sportzentrum West Halle 4/5,TSV Ismaning,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-12T12:15,TSV Wasserburg,TuS Bad Aibling 2,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Landesliga U14m Süd,2023-11-12T12:30,TS Jahn München 2,TSV Jahn Freising,TS Jahn München (alt),MTSV Schwabing 5,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-12T12:30,TSV Vaterstetten,BC Hellenen München,Realschule Baldham,TSV Wasserburg,x,,
Bezirksklasse Damen (bkd) 2023/24,2023-11-12T13:00,SV Saaldorf,Ackermannbogen,Mehrzweckhalle Saaldorf,TSV Bad Reichenhall 2,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-12T13:30,München Basket 2,Gautinger Sportclub e.V.,Grundschule Amphionpark,SVN München,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-11-12T14:00,TSV Gräfelfing e.V.,TSV Weilheim,Kurt-Huber-Gymnasium,MTV München,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-12T14:00,TSV Weilheim,Slama Jama Gröbenzell,Sportzentrum,ESV Staffelsee 2,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-12T14:00,TSV Weilheim,TG Landshut,W.-C.-Röntgen-Mittelschule,SV Bad Tölz,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-12T14:00,TV Traunstein,Baskets Vilsbiburg,Halle der Ludwig-Thoma-Schule,SV Wacker Burghausen 2,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-11-12T14:30,TG Landshut,TSV Jahn Freising,Sportzentrum West Halle 4/5,TSV Ismaning,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-11-12T14:30,TSV München Ost,TSV München-Forstenried,Ost-Dome 1,TSV Trudering,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-11-12T14:30,TSV München-Forstenried,MTV München,GS Baierbrunner Straße,TSV Grünwald,,,
Kreisklasse Herren Südost 23/24,2023-11-12T14:30,TSV Wasserburg,TuS Prien BRIGENNAS,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Landesliga U14m Süd,2023-11-12T14:45,DJK SB München 2,SB Rosenheim,Fischer-von-Erlach-Halle,TSV Gräfelfing e.V.,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-12T15:00,Ackermannbogen,TSV Milbertshofen,Hauptschule Elisabeth-Kohn-Str.,TSV München Ost,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-12T15:00,Ackermannbogen,TSV OH Deisenhofen,Hauptschule Elisabeth-Kohn-Str.,TSV München Ost,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-12T15:00,MTSV Schwabing 5,TSV Ismaning,Morawitzkyhalle,Ackermannbogen,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-12T15:00,TSV Vaterstetten,DJK SB München 2,Realschule Baldham,TS Jahn München 2,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-11-12T15:00,TuS Fürstenfeldbruck,Slama Jama Gröbenzell,Graf-Rasso-Gymnasium,MTV München,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-11-12T16:00,TSV Schleißheim,VfR Garching 2,Sporthalle beim Hallenbad,TSV Jahn Freising,x,,
Kreisklasse Herren A (KKHA) 2023/24,2023-11-12T16:00,TSV Trudering,TSV Ismaning,Gymnasium Trudering,DJK SB München 2,x,,
Bezirksklasse Herren Südost  23/24,2023-11-12T16:00,TuS Bad Aibling 2,SV Wacker Burghausen 2,Sporthalle im Sportpark,TuS Holzkirchen,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-11-12T16:30,TSV Weilheim,TSV 1865 Dachau,W.-C.-Röntgen-Mittelschule,SV Bad Tölz,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-12T17:00,BC Hellenen München,TSV Jahn Freising,Adolf-Weber-Gymnasium,TS Jahn München 2,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-11-12T17:00,VfB Hallbergmoos-Goldach,TSV Dorfen,Hallberghalle,TG Landshut,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-12T17:30,Ackermannbogen,TSV München Ost,Hauptschule Elisabeth-Kohn-Str.,München Basket 2,,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-12T18:00,SpVgg Höhenkirchen,TS Jahn München 2,Gymnasium Höhenkirchen-Siegertsbrunn,TSV 1864 Grafing 2,,,
Bezirksklasse Damen (bkd) 2023/24,2023-11-12T18:00,SV Bad Tölz,TSV Ismaning,Flintkaserne Sportpark,ESV Staffelsee 2,,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-12T18:00,TSV Trudering,VfR Garching 2,Gymnasium Trudering,DJK SB München 2,x,,
Bezirksklasse Herren Südost  23/24,2023-11-12T18:00,TV 1863 Miesbach,SV Seeon,Mittelschulturnhalle,TuS Holzkirchen,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-11-12T18:30,TSV Gräfelfing e.V.,DJK SB München 2,Kurt-Huber-Gymnasium,München Basket 2,,,
Bezirksklasse Herren Südost  23/24,2023-11-12T18:45,WSV Glonn,TSV 1860 Rosenheim,Spielhalle WSV Glonn,TSV 1864 Grafing 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-12T19:00,TSV Schleißheim,TS Jahn München 2,Sporthalle beim Hallenbad,TSV Jahn Freising,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-12T19:30,TSV Jahn Freising,BC Hellenen München,Steinpark-Halle,TG Landshut,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-11-12T19:30,TuS Fürstenfeldbruck,ESV Staffelsee 2,Graf-Rasso-Gymnasium,Slama Jama Gröbenzell,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-17T20:30,TSV München Ost,BC Hellenen München,null,TSV München-Solln,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-11-18T10:00,Baskets Vilsbiburg,TuS Traunreut,Ballsporthalle,TG Landshut,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-18T10:00,Baskets Vilsbiburg,SV Wacker Burghausen 2,Doppelturnhalle,TG Landshut,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-18T10:00,FC Bayern München 3,München Basket 2,Städt. Sporthalle Säbener Str.,SVN München,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-11-18T10:00,FV Jahn München,FC Bayern München 3,TS Jahn München,TSV Milbertshofen,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-18T10:00,MTV München,Slama Jama Gröbenzell,Berufsfachschule Kinderpflege,TS Jahn München 2,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-11-18T10:00,TS Jahn München 2,TSV Wasserburg,Ruth-Drexel-Grundschule,TSV München Ost,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-11-18T10:30,München Basket 2,TSV Gräfelfing e.V.,Grundschule Amphionpark,DJK SB München 2,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-11-18T10:30,TSV Neuötting,TG Landshut,Max-Fellermeier-Volksschule,SV Seeon,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-11-18T11:00,TSV München-Solln,BC Hellenen München,Sporthalle TSV Solln,TSV Grünwald,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-11-18T11:45,SV Wacker Burghausen 2,TSV Jahn Freising,Franz-Xaver-Gruber Mittelschule,TuS Traunreut,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-11-18T12:00,TV Traunstein,TSV 1860 Rosenheim,Annette-Kolb-Gymnasium,SV Seeon,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-18T12:15,TG Landshut,TSV Wasserburg,Sportzentrum West Halle 4/5,SpVgg Altenerding 2,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-18T12:15,TSV 1865 Dachau,TSV Weilheim,Jahnhalle,Ackermannbogen,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-11-18T12:30,MTV München,TuS Bad Aibling 2,Berufsfachschule Kinderpflege,TS Jahn München 2,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-11-18T12:30,TSV Neuötting,TSV 1884 Wolnzach,Max-Fellermeier-Volksschule,SV Seeon,x,,
Bezirksklasse Damen (bkd) 2023/24,2023-11-18T13:00,TSV Wasserburg,SV Saaldorf,Luitpold-Gymnasium,TuS Bad Aibling 2,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-18T13:30,DJK SB München 2,München Basket 2,Fischer-von-Erlach-Halle,BC Hellenen München,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-11-18T14:00,SV Wacker Burghausen 2,TSV Wasserburg,Franz-Xaver-Gruber Mittelschule,TuS Traunreut,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-18T14:00,TSV Vaterstetten,TSV Milbertshofen,Realschule Baldham,Maccabi München,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-18T14:30,TG Landshut,Ackermannbogen,Sportzentrum West Halle 4/5,SpVgg Altenerding 2,x,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-11-18T14:30,TSV Gräfelfing e.V.,TSV Wasserburg,Kurt-Huber-Gymnasium,FC Bayern München 3,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-11-18T14:30,TSV Jahn Freising,TSV München Ost,Steinpark-Halle,TSV Ismaning,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-18T14:30,TSV Neuötting,TV Traunstein,Max-Fellermeier-Volksschule,SV Wacker Burghausen 2,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-18T15:00,München Basket 2,MTSV Schwabing 5,Grundschule Amphionpark,Haching Baskets,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-18T15:15,TSV Haar,München Basket 2,Ernst-Mach-Gymnasium,TSV 1864 Grafing 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-18T15:30,TSV München-Solln,TSV Gräfelfing e.V.,Sporthalle TSV Solln,TSV München-Forstenried,,,
Bezirksklasse Herren Südost  23/24,2023-11-18T16:00,TV Traunstein,TuS Bad Aibling 2,Annette-Kolb-Gymnasium,TSV Bad Reichenhall 2,,,
Kreisklasse Herren B (KKHB)  2023/24,2023-11-18T16:30,SVN München,Sportfreunde BiH München 2021 e.V.,SVN Sportpark,Slama Jama Gröbenzell,x,,
Kreisklasse Herren A (KKHA) 2023/24,2023-11-18T16:30,TSV Ismaning,TSV Schleißheim,Realschule Ismaning,München Basket 2,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-18T16:45,SV Wacker Burghausen 2,TSV Wasserburg,Franz-Xaver-Gruber Mittelschule,TSV Trostberg 1863,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-11-18T17:00,BC Hellenen München,TSV München-Forstenried,Adolf-Weber-Gymnasium,München Basket 2,,,
Kreisliga Herren B (KLHB)  2023/24,2023-11-18T17:15,München Basket 2,MTV München,Grundschule Amphionpark,Haching Baskets,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-18T17:30,TSV München Ost,TSV Schleißheim,Ost-Dome 1,TSV München-Forstenried,,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-18T17:30,VfR Garching 2,TSV Jahn Freising,Zeppelin Sportpark Garching,TSV Ismaning,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-18T18:00,TS Jahn München 2,TV Traunstein,Ruth-Drexel-Grundschule,TSV München Ost,,,
Bezirksklasse Herren Südost  23/24,2023-11-18T18:00,TSV 1860 Rosenheim,TV 1863 Miesbach,Finsterwalder Gymnasium,TuS Prien BRIGENNAS,,,
Kreisliga Herren Südost  Saison 23/24,2023-11-18T18:00,Turn- und Sportverein Raubling e.V.,TSV Gars,null,TuS Bad Aibling 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-11-18T18:30,DJK SB München 2,TuS Geretsried,Fischer-von-Erlach-Halle,TSV Milbertshofen,,,
Bezirksklasse Herren Südost  23/24,2023-11-18T19:00,SV Wacker Burghausen 2,TSV Wasserburg,Franz-Xaver-Gruber Mittelschule,TSV Trostberg 1863,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-18T19:00,SVN München,SpVgg Höhenkirchen,SVN Sportpark,Slama Jama Gröbenzell,x,,
Kreisklasse Herren Südost 23/24,2023-11-18T19:00,TSV Bad Reichenhall 2,TSV Wasserburg,Karlsgymnasium,TV Traunstein,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-11-18T19:00,TSV Hechendorf,TuS Fürstenfeldbruck,Zweifachsporthalle,Gautinger Sportclub e.V.,,,
Bezirksklasse Herren Südost  23/24,2023-11-18T19:00,TSV Trostberg 1863,SV Seeon,Alois-Böck-Halle,Baskets Vilsbiburg,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-18T20:00,TS Jahn München 2,TSV 1860 München,TS Jahn München,MTV München,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-11-18T20:00,TSV München-Solln,TSV Utting,Sporthalle TSV Solln,BC Hellenen München,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-19T11:00,TSV München-Solln,TSV München Ost,Sporthalle TSV Solln,DJK SB München 2,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-11-19T11:15,TSV Gräfelfing e.V.,TSV München Ost,Kurt-Huber-Gymnasium,Gautinger Sportclub e.V.,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-19T12:00,BC Hellenen München,TSV Gräfelfing e.V.,Adolf-Weber-Gymnasium,TSV München Ost,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-11-19T12:00,Slama Jama Gröbenzell,DJK SB München 2,Ballsporthalle Gröbenzell,MTV München,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-19T12:00,TSV Trudering,MTV München,Gymnasium Trudering,TS Jahn München 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-19T12:00,TuS Bad Aibling 2,Haching Baskets,Sporthalle im Sportpark,TSV 1860 Rosenheim,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-19T12:15,Baskets Vilsbiburg,TG Landshut,Ballsporthalle,SV Schwindegg,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-19T12:15,TSV 1864 Grafing 2,TG Landshut,Jahnsporthalle,TSV Wasserburg,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-11-19T12:30,Ackermannbogen,MTV München,null,BC Hellenen München,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-19T12:30,MTSV Schwabing 5,ESV Staffelsee 2,Morawitzkyhalle,Ackermannbogen,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-19T12:30,TSV Ismaning,Ackermannbogen,Osterfeldhalle,TS Jahn München 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-19T13:00,Haching Baskets,DJK SB München 2,Lise-Meitner-Gymnasium,TuS Holzkirchen,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-19T13:00,TSV Grünwald,TSV Vaterstetten,Gymnasium Grünwald,TSV Weilheim,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-19T14:00,Gautinger Sportclub e.V.,München Basket 2,Realschule,TSV Hechendorf,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-11-19T14:30,Slama Jama Gröbenzell,TSV Weilheim,Ballsporthalle Gröbenzell,MTV München,x,,
Kreisklasse Herren Südost 23/24,2023-11-19T14:30,TSV 1864 Grafing 2,TSV Trostberg 1863,Jahnsporthalle,TSV Wasserburg,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-11-19T14:30,TSV 1898 Penzberg,TuS Fürstenfeldbruck,Neue Sporthalle Wellenbad,TSV Utting,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-19T15:00,TS Jahn München 2,TuS Bad Aibling 2,TS Jahn München (alt),FC Aschheim,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-19T15:30,TSV Grünwald,Haching Baskets,Gymnasium Grünwald,TSV Weilheim,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-19T15:45,München Basket 2,Haching Baskets,Grundschule Amphionpark,TSV Vaterstetten,,,
Kreisliga Herren Südost  Saison 23/24,2023-11-19T16:00,SV Schwindegg,TSV 1860 Rosenheim,Hauptschule,TSV Wasserburg,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-19T16:30,Gautinger Sportclub e.V.,TSV Weilheim,Realschule,TSV Hechendorf,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-19T16:45,TSV 1898 Penzberg,TSV Vaterstetten,Neue Sporthalle Wellenbad,TSV Utting,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-19T17:00,Slama Jama Gröbenzell,TuS Fürstenfeldbruck,Ballsporthalle Gröbenzell,Haching Baskets,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-19T17:00,TSV 1884 Wolnzach,MTV München,Hallertau-Gymnasium,TG Landshut,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-19T17:00,TSV Jahn Freising,TSV Vaterstetten,Steinpark-Halle,TG Landshut,,,
Bezirksklasse Damen (bkd) 2023/24,2023-11-19T17:00,TSV München Ost,SV Bad Tölz,Ost-Dome 1,TS Jahn München 2,,,
Kreisliga Herren Südost  Saison 23/24,2023-11-19T17:00,TuS Töging,TSV 1896 Freilassing,Mehrzweckhalle Töging,SV Wacker Burghausen 2,,,
Bezirksklasse Damen (bkd) 2023/24,2023-11-19T17:30,Ackermannbogen,SV Mammendorf 2,Hauptschule Elisabeth-Kohn-Str.,München Basket 2,x,,
Kreisklasse Herren B (KKHB)  2023/24,2023-11-19T17:30,Maccabi München,Maccabi München,GS Infanteriestraße,FV Jahn München,,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-19T17:30,TS Jahn München 2,TSV Trudering,TS Jahn München,FC Aschheim,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-19T17:30,TSV Ismaning,Ackermannbogen,Osterfeldhalle,München Basket 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-19T18:00,SpVgg Altenerding 2,TuS Holzkirchen,Knabenschule,Baskets Vilsbiburg,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-11-19T18:00,TSV Dorfen,TSV Trudering,Hauptschule Dorfen,Baskets Vilsbiburg,,,
Kreisliga Herren B (KLHB)  2023/24,2023-11-19T18:00,TV von 1895 Markt Schwaben,TSV Haar,Lena-Christ Realschule,TSV München Ost,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-11-19T19:00,ESV Staffelsee 2,TSV Weilheim,Staffelsee-Gymnasium,TSV 1898 Penzberg,,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-19T19:30,BC Hellenen München,TSV München Ost,Adolf-Weber-Gymnasium,Ackermannbogen,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-11-19T20:00,Ackermannbogen,VfB Hallbergmoos-Goldach,Hauptschule Elisabeth-Kohn-Str.,München Basket 2,x,,
Kreisliga Herren B (KLHB)  2023/24,2023-11-19T20:00,SV Bad Tölz,FC Anadolu,Flintkaserne Sportpark,ESV Staffelsee 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-11-24T20:00,TSV 1860 München,TSV München Ost,Wilhelm-Busch-Realschule,TS Jahn München 2,,,
Kreisliga Herren B (KLHB)  2023/24,2023-11-24T20:35,FC Anadolu,TSV Haar,Hauptschule Elisabeth-Kohn-Str.,München Basket 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-25T00:00,ESV Staffelsee 2,Slama Jama Gröbenzell,Staffelsee-Gymnasium,SV Bad Tölz,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-25T00:00,TSV Gräfelfing e.V.,TS Jahn München 2,Kurt-Huber-Gymnasium,TSV München-Solln,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-25T00:00,TSV Gräfelfing e.V.,TSV Milbertshofen,Kurt-Huber-Gymnasium,VfR Garching 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-25T09:45,Haching Baskets,TG Landshut,Lise-Meitner-Gymnasium,Ackermannbogen,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-11-25T10:00,DJK SB München 2,TS Jahn München 2,Fischer-von-Erlach-Halle,TuS Geretsried,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-11-25T10:00,ESV Staffelsee 2,TSV München Ost,Staffelsee-Gymnasium,TSV 1898 Penzberg,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-11-25T10:00,München Basket 2,TSV München-Solln,Grundschule Amphionpark,TSV München Ost,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-11-25T10:00,TSV 1860 Rosenheim,TSV Wasserburg,Finsterwalder Gymnasium,TV 1863 Miesbach,x,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-11-25T10:00,TuS Bad Aibling 2,TSV Wasserburg,Sporthalle im Sportpark,TSV 1860 Rosenheim,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-11-25T10:00,TuS Traunreut,TSV Wasserburg,null,TSV Bad Reichenhall 2,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-25T11:30,TSV Weilheim,Ackermannbogen,Sportzentrum,ESV Staffelsee 2,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-11-25T11:30,TV Traunstein,TV 1862 Passau,Annette-Kolb-Gymnasium,TuS Prien BRIGENNAS,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-25T12:00,Haching Baskets,TSV Jahn Freising,Lise-Meitner-Gymnasium,Ackermannbogen,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-25T12:00,TSV 1865 Dachau,FC Bayern München 3,Jahnhalle,TSV München Ost,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-11-25T12:15,Baskets Vilsbiburg,TSV Neuötting,Ballsporthalle,TSV Dorfen,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-11-25T12:15,München Basket 2,BC Hellenen München,Grundschule Amphionpark,TSV München Ost,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-25T12:15,TSV 1860 Rosenheim,TSV Wasserburg,Finsterwalder Gymnasium,TV 1863 Miesbach,x,,
Landesliga U14m Süd,2023-11-25T12:30,DJK SB München 2,Baskets Vilsbiburg,Fischer-von-Erlach-Halle,TuS Geretsried,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-11-25T14:00,TSV Weilheim,TuS Fürstenfeldbruck,Sportzentrum,ESV Staffelsee 2,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-11-25T14:30,Baskets Vilsbiburg,TSV Neuötting,Ballsporthalle,TSV Dorfen,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-11-25T14:30,München Basket 2,TSV Grünwald,Grundschule Amphionpark,TSV Gräfelfing e.V.,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-25T14:30,TG Landshut,TSV München-Solln,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,,,
Landesliga U14m Süd,2023-11-25T14:30,TSV Jahn Freising,BG Leitershofen/Stadtbergen,Steinpark-Halle,TG Landshut,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-25T15:15,TSV Haar,Baskets Vilsbiburg,Sportpark Eglfing,Haching Baskets,,,
Bezirksklasse Damen (bkd) 2023/24,2023-11-25T16:00,SV Bad Tölz,TSV Wasserburg,Flintkaserne Sportpark,TSV Weilheim,,,
Kreisklasse Herren Südost 23/24,2023-11-25T16:00,TSV Trostberg 1863,TuS Prien BRIGENNAS,Alois-Böck-Halle,TSV Neuötting,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-11-25T16:30,SVN München,SG Poing,SVN Sportpark,FV Jahn München,,,
Kreisliga Herren Südost  Saison 23/24,2023-11-25T16:30,TSV Bad Reichenhall 2,SV Schwindegg,Karlsgymnasium,TV Traunstein,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-11-25T16:30,TSV Vaterstetten,TSV München Ost,Realschule Baldham,BC Hellenen München,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-11-25T16:30,TSV Weilheim,München Basket 2,W.-C.-Röntgen-Mittelschule,TSV 1898 Penzberg,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-11-25T16:45,München Basket 2,DJK SB München 2,Grundschule Amphionpark,TSV Gräfelfing e.V.,x,,
