72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Kreisliga Herren A (KLHA) 2023/24,2023-09-30T17:30,TS Jahn München 2,SVN München,TS Jahn München,TSV Jahn Freising,x,,
Kreisklasse Herren Südost 23/24,2023-09-30T18:00,TSV 1860 Rosenheim,TSV Trostberg 1863,Finsterwalder Gymnasium,TSV Wasserburg,x,,
Kreisliga Herren Südost  Saison 23/24,2023-09-30T18:00,TSV Gars,TSV 1860 Rosenheim,Hauptschule,SG Poing,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-09-30T18:00,TuS Holzkirchen,München Basket 2,Sportzentrum,ESV Staffelsee 2,,,
Bezirksklasse Herren Südost  23/24,2023-09-30T18:00,TuS Prien BRIGENNAS,SV Seeon,Franziska-Hager-Halle,TSV 1860 Rosenheim,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-09-30T18:30,TSV Ismaning,TSV Dorfen,Realschule Ismaning,TSV 1865 Dachau,,,
Bezirksklasse Herren Südost  23/24,2023-09-30T19:00,SV Wacker Burghausen 2,TV Traunstein,Franz-Xaver-Gruber Mittelschule,TV 1862 Passau,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-09-30T20:00,TSV München Ost,SpVgg Altenerding 2,Ost-Dome 1,München Basket 2,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-01T10:00,ESV Staffelsee 2,TS Jahn München 2,Staffelsee-Gymnasium,TSV 1898 Penzberg,,,
Landesliga U14m Süd,2023-10-01T10:00,TSV München Ost,TSV Jahn Freising,Ost-Dome 3,Haching Baskets,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-01T10:00,TSV Wasserburg,TV Traunstein,Luitpold-Gymnasium,TSV Vaterstetten,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-01T10:30,SV Wacker Burghausen 2,TV 1862 Passau,Sportparkhalle,TV Traunstein,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-01T12:00,Slama Jama Gröbenzell,München Basket 2,Ballsporthalle Gröbenzell,TS Jahn München 2,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-01T12:15,TSV München-Solln,DJK SB München 2,Sporthalle TSV Solln,TSV OH Deisenhofen,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-01T12:15,TSV Wasserburg,TV Traunstein,Luitpold-Gymnasium,TSV Vaterstetten,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-01T12:30,SV Mammendorf 2,Gautinger Sportclub e.V.,Mehrzweckhalle,TuS Fürstenfeldbruck,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-01T12:30,TS Jahn München 2,Baskets Vilsbiburg,TS Jahn München,MTSV Schwabing 5,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-01T12:30,TSV Ismaning,München Basket 2,Osterfeldhalle,VfR Garching 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-01T14:00,München Basket 2,TSV München-Solln,Grundschule Amphionpark,BC Hellenen München,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-01T14:15,TSV OH Deisenhofen,TSV Grünwald,Kyberghalle,Haching Baskets,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-01T14:30,BC Hellenen München,TSV Vaterstetten,Adolf-Weber-Gymnasium,München Basket 2,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-01T14:30,Slama Jama Gröbenzell,TSV 1898 Penzberg,Ballsporthalle Gröbenzell,TS Jahn München 2,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-01T14:30,TG Landshut,TSV 1865 Dachau,Sportzentrum West Halle 4/5,TSV Jahn Freising,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-01T14:30,TSV München Ost,DJK SB München 2,Ost-Dome 1,Maccabi München,,,
Kreisklasse Herren Südost 23/24,2023-10-01T14:30,TSV Wasserburg,SV Seeon,Luitpold-Gymnasium,ASV Rott am Inn 3,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-01T15:00,Ackermannbogen,TSV Vaterstetten,Hauptschule Elisabeth-Kohn-Str.,TSV Gräfelfing e.V.,x,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-01T15:00,Maccabi München,MTSV Schwabing 5,Sporthalle Hochstr. 31,TuS Geretsried,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-01T15:00,TS Jahn München 2,TSV Gräfelfing e.V.,TS Jahn München (alt),MTSV Schwabing 5,x,,
